0.2,10,0.1,0.23514,0.65981,0.34019,0.31962,0.24022,1.3267,178,13
0.2,10,0.3,0.49987,0.77755,0.22245,0.55511,0.46561,1.4007,178,13
0.2,10,0.5,0.4045,0.73514,0.26486,0.47027,0.38754,1.337,178,13
0.4,10,0.1,0.2835,0.68132,0.31868,0.36264,0.28604,0.92696,178,13
0.4,10,0.3,0.55345,0.80138,0.19862,0.60277,0.51248,1.4079,178,13
0.4,10,0.5,0.48428,0.77062,0.22938,0.54124,0.45654,1.2869,178,13
0.6,10,0.1,0.27218,0.67628,0.32372,0.35257,0.27085,1.156,178,13
0.6,10,0.3,0.61687,0.82959,0.17041,0.65919,0.5863,1.3194,178,13
0.6,10,0.5,0.56415,0.80614,0.19386,0.61228,0.53529,1.386,178,13
0.8,10,0.1,0.32482,0.6997,0.3003,0.39939,0.32985,0.94949,178,13
0.8,10,0.3,0.58599,0.81586,0.18414,0.63171,0.54442,1.2674,178,13
0.8,10,0.5,0.59688,0.8207,0.1793,0.6414,0.56127,1.7914,178,13
1,10,0.1,0.34065,0.70674,0.29326,0.41347,0.33298,0.9758,178,13
1,10,0.3,0.61668,0.82951,0.17049,0.65901,0.58304,1.3547,178,13
1,10,0.5,0.61366,0.82817,0.17183,0.65633,0.57778,1.3492,178,13
1.2,10,0.1,0.36632,0.71816,0.28184,0.43631,0.35657,1.3599,178,13
1.2,10,0.3,0.6243,0.8329,0.1671,0.66579,0.58747,1.3314,178,13
1.2,10,0.5,0.66983,0.85315,0.14685,0.70629,0.63946,1.269,178,13
1.4,10,0.1,0.38746,0.72756,0.27244,0.45511,0.38519,1.0723,178,13
1.4,10,0.3,0.63279,0.83667,0.16333,0.67334,0.59585,1.3168,178,13
1.4,10,0.5,0.64082,0.84025,0.15975,0.68049,0.61117,1.6076,178,13
1.6,10,0.1,0.35012,0.71095,0.28905,0.4219,0.33377,1.0384,178,13
1.6,10,0.3,0.66479,0.8509,0.1491,0.70181,0.63281,1.3356,178,13
1.6,10,0.5,0.64701,0.84299,0.15701,0.68599,0.61032,1.3455,178,13
1.8,10,0.1,0.3407,0.70676,0.29324,0.41352,0.32394,1.3565,178,13
1.8,10,0.3,0.62147,0.83164,0.16836,0.66328,0.58773,1.3063,178,13
